No of commenced toilet photo,No of Application verified, No of application Approved, No of application pullback, No of application not verified, No of application pullback,No. of Constructed Toilet Photo through Swachhalaya,ULB,No. of Constructed Toilet Photo	No. of Commenced Toilet Photo,No. of Applications Received,District, No. of Applications Approved having Aadhar No,lambda,State
0,958,958,0,0,225,0,Songadh (M),958,Tapi,1689,0,506,Gujarat
0,2515,2515,0,2,204,0,Vyara (M),2516,Tapi,2995,0,274,Gujarat
0,0,0,0,0,0,0,Saputara (NA),0,The Dangs,0,0,0,Gujarat
0,1088,1088,0,1,35,1,Chhota Udaipur (M),1088,Vadodara,1245,0,121,Gujarat
0,2260,2260,0,2,130,0,Dabhoi (M),2260,Vadodara,2392,0,0,Gujarat
0,0,0,0,0,0,0,GSFC Complex (INA),0,Vadodara,0,0,0,Gujarat
0,1850,1850,0,0,77,1,Karjan (M),1850,Vadodara,1927,4,0,Gujarat
0,0,0,0,0,0,0,Nandesari (INA),0,Vadodara,0,0,0,Gujarat
0,1220,1220,0,1,61,0,Padra (M),1220,Vadodara,1282,38,0,Gujarat
0,0,0,0,0,0,0,Petro-Chemical Complex (INA),0,Vadodara,0,0,0,Gujarat
0,0,0,0,0,0,0,Por-Ramangamdi (INA),0,Vadodara,0,0,0,Gujarat
0,1850,1850,0,1,68,0,Savli (M),1850,Vadodara,1919,0,0,Gujarat
3,17157,17138,0,12,2966,0,Vadodara (M Corp.),16828,Vadodara,20188,6,53,Gujarat
0,0,0,0,0,0,0,Vaghodia (INA),0,Vadodara,0,0,0,Gujarat
4,261,261,4,0,0,4,Bawani khera (MC),274,Bhiwani,967,149,702,Haryana
0,353,352,0,266,0,1,Bhiwani (M Cl),415,Bhiwani,620,58,1,Haryana
79,397,394,0,10,1,2,Charkhi Dadri (MC),333,Bhiwani,576,234,168,Haryana
27,284,284,0,0,0,1,Loharu (MC),164,Bhiwani,680,280,396,Haryana
0,420,420,0,47,0,1,Siwani (MC),135,Bhiwani,510,418,43,Haryana
40,14297,14297,15,2558,8,13,Faridabad (M Corp.),10137,Faridabad,18953,13497,2075,Haryana
0,24,24,0,0,0,1,Bhuna,13,Fatehabad,69,23,45,Haryana
0,53,53,0,1,0,0,Fatehabad (M Cl),50,Fatehabad,74,53,20,Haryana
0,32,32,3,40,0,5,Ratia (MC),35,Fatehabad,199,32,124,Haryana
1,207,206,0,8,1,0,Tohana (M Cl),203,Fatehabad,224,200,8,Haryana
0,190,190,0,0,7,0,Farrukhnagar (MC),189,Gurgaon,220,183,23,Haryana
3,5032,4953,0,31,2,1,Gurgaon (M Corp.),4953,Gurgaon,5121,4713,56,Haryana
11,173,173,0,6,2,0,Hailey Mandi (MC),127,Gurgaon,237,112,56,Haryana
10,182,180,0,33,0,1,Pataudi (MC),173,Gurgaon,304,178,89,Haryana
3,195,191,2,152,1,0,Sohna (MC),200,Gurgaon,401,180,51,Haryana
2,1076,1076,1,2286,0,0,Barwala (MC),729,Hisar,3520,647,157,Haryana
0,223,223,1,25,0,1,Hansi (M Cl),215,Hisar,888,223,639,Haryana
13,893,893,1,3,1,1,Hisar (M Cl),841,Hisar,2525,300,1627,Haryana
1,526,525,0,2,0,0,Narnaund (MC),374,Hisar,1135,253,607,Haryana
0,103,81,0,20,85,69,Uklana,50,Hisar,426,81,218,Haryana
0,258,254,1,2,160,0,Bahadurgarh (M Cl),250,Jhajjar,739,253,318,Haryana
0,360,335,1,92,0,0,Beri (MC),196,Jhajjar,454,328,1,Haryana
2,428,360,1,15,12,1,Jhajjar (MC),161,Jhajjar,729,291,273,Haryana
8,188,187,2,15,0,0,Jind (M Cl),170,Jind,336,185,131,Haryana
22,229,225,0,62,0,0,Julana (MC),130,Jind,505,216,214,Haryana
1,72,72,0,9,1,2,Narwana (M Cl),70,Jind,363,72,281,Haryana
38,296,296,0,48,2,0,Safidon (MC),185,Jind,537,290,191,Haryana
3,265,265,1,2,1,3,Uchana (MC),205,Jind,634,254,365,Haryana
0,305,305,0,1,0,0,Cheeka (MC),255,Kaithal,763,305,457,Haryana
11,176,175,1,67,0,0,Kaithal (M Cl),159,Kaithal,246,174,2,Haryana
2,584,574,0,99,153,0,Kalayat (MC),408,Kaithal,1078,574,242,Haryana
6,940,940,0,3,0,1,Pundri (MC),628,Kaithal,1131,661,188,Haryana
0,723,719,0,76,0,0,Rajound,579,Kaithal,806,542,7,Haryana
110,574,294,1,29,15,1,Assandh (MC),136,Karnal,1263,290,644,Haryana
0,308,308,0,1,3,0,Gharaunda (MC),308,Karnal,312,193,0,Haryana
1,291,291,0,13,7,0,Indri (MC),224,Karnal,365,246,54,Haryana
1,5221,5221,0,73,58,0,Karnal (M Cl),5679,Karnal,6148,4922,796,Haryana
97,425,425,0,23,5,0,Nilokheri (MC),328,Karnal,478,415,25,Haryana
2,186,180,0,53,2,0,Nissing (MC),171,Karnal,565,171,324,Haryana
1,359,322,1,15,0,1,Taraori (MC),161,Karnal,1032,321,657,Haryana
0,53,46,1,0,0,5,Ladwa (MC),55,Kurushetra,116,46,62,Haryana
4,103,103,1,0,3,1,Pehowa (MC),95,Kurushetra,226,77,119,Haryana
0,21,21,0,11,1,0,Shahbad (MC),13,Kurushetra,75,14,42,Haryana
5,38,36,0,3,3,10,Thanesar (M Cl),27,Kurushetra,125,36,81,Haryana
0,75,75,0,0,0,0,Ateli (MC),60,Mahendragarh,78,69,3,Haryana
1,70,70,1,62,2,0,Kanina (MC),77,Mahendragarh,137,40,2,Haryana
97,392,371,0,126,3,4,Mahendragarh (MC),50,Mahendragarh,860,276,339,Haryana
4,403,401,1,432,1,4,Nangal Chaudhary,318,Mahendragarh,838,329,1,Haryana
2,474,468,4,168,3,0,Narnaul (M Cl),409,Mahendragarh,899,467,250,Haryana
0,472,432,1,1,7,3,Ferozepur jhirka (MC),334,Mewat,972,390,491,Haryana
1,94,94,1,38,30,4,Nuh (MC),25,Mewat,270,94,107,Haryana
0,317,317,0,160,3,3,Punahana (MC),191,Mewat,480,312,0,Haryana
1,263,263,1,3,5,0,Taoru (MC),293,Mewat,373,263,101,Haryana
0,0,0,0,0,0,0,Hassan Pur (MC),0,Palwal,0,0,0,Haryana
2,441,441,4,165,3,8,Hathin (MC),436,Palwal,616,441,3,Haryana
36,509,84,5,920,20,15,Hodal (MC),47,Palwal,1837,84,383,Haryana
417,877,873,3,337,129,8,Palwal (M Cl),320,Palwal,1690,872,344,Haryana
0,0,0,0,0,0,0,Kalka (MC),0,Panchkula,0,0,0,Haryana
20,7887,7096,36,140,10,4,Panchkula (M Cl),7839,Panchkula,8342,6821,269,Haryana
0,0,0,0,0,0,0,Pinjore (MC),0,Panchkula,0,0,0,Haryana
22,3057,1958,1,542,7,4,Panipat (M Cl),1796,Panipat,3609,962,2,Haryana
1,30,30,2,12,23,0,Samalkha (MC),35,Panipat,114,28,47,Haryana
1,131,130,0,14,1,0,Bawal (MC),72,Rewari,186,130,40,Haryana
0,201,201,0,0,12,0,Dharuhera (MC),154,Rewari,279,195,66,Haryana
3,401,398,5,156,5,3,Rewari (M Cl),235,Rewari,567,391,0,Haryana
64,206,206,0,8,220,1,Kalanaur (MC),143,Rohtak,444,191,10,Haryana
0,524,505,0,31,2,0,Maham (MC),309,Rohtak,674,493,117,Haryana
1,1906,1906,0,4,253,0,Rohtak (M Cl),1900,Rohtak,5391,1903,3228,Haryana
2,418,418,0,0,1,1,Sampla (MC),269,Rohtak,525,411,106,Haryana
0,8,8,0,1,0,0,Ellenabad (MC),8,Sirsa,37,7,28,Haryana
0,31,31,0,4,0,3,Kalanwali (MC),29,Sirsa,41,31,6,Haryana
0,48,48,0,6,0,1,Mandi Dabwali (MC),49,Sirsa,55,47,1,Haryana
0,23,23,0,8,0,0,Rania (MC),23,Sirsa,32,23,1,Haryana
1,18,17,0,9,0,0,Sirsa (M Cl),20,Sirsa,343,17,316,Haryana
5,226,226,1,1,10,1,Ganaur (MC),211,Sonipat,628,174,390,Haryana
0,356,354,1,208,1,1,Gohana (MC),290,Sonipat,567,352,1,Haryana
0,147,124,0,9,0,0,Kharkhoda (MC),65,Sonipat,164,122,8,Haryana
85,2305,2305,1,8,21,5,Sonipat (M Cl),1927,Sonipat,4498,1606,2163,Haryana
0,0,0,0,0,0,0,C.B. Bakloh,0,Chamba,0,0,0,Himachal Pradesh
0,0,0,0,0,0,0,C.B. Dalhousie,0,Chamba,0,0,0,Himachal Pradesh
1,43,36,0,142,4,0,Chamba (M Cl),25,Chamba,203,35,14,Himachal Pradesh
0,68,68,0,4,0,0,Chuari Khas (NP),0,Chamba,73,67,1,Himachal Pradesh
0,0,0,0,0,0,0,Dalhousie (M Cl),0,Chamba,0,0,0,Himachal Pradesh
0,18,18,0,13,0,0,Bhota (NP),0,Hamirpur,57,18,26,Himachal Pradesh
3,93,59,1,1,2,0,Hamirpur (M Cl),29,Hamirpur,150,59,53,Himachal Pradesh
0,105,50,0,0,1,0,Nadaun (NP),35,Hamirpur,135,26,29,Himachal Pradesh
2,66,66,0,10,0,0,Tira Sujanpur (NP),35,Hamirpur,87,49,11,Himachal Pradesh
0,0,0,0,0,2,0,C.B. Yol,0,Kangra,2,0,0,Himachal Pradesh
0,104,101,0,2,0,0,Dera Gopipur (NP),12,Kangra,222,91,116,Himachal Pradesh
20,153,147,1,12,6,0,Dharmsala (M Cl),20,Kangra,318,144,146,Himachal Pradesh
0,133,99,0,3,21,0,Jawalamukhi (NP),31,Kangra,253,98,96,Himachal Pradesh
0,0,0,0,6,0,0,Jawali (NP),0,Kangra,6,0,0,Himachal Pradesh
0,95,95,0,1,4,1,Kangra (M Cl),69,Kangra,267,91,167,Himachal Pradesh
0,210,118,1,13,0,0,Nagrota Bagwan (M Cl),30,Kangra,235,88,11,Himachal Pradesh
6,0,0,0,277,247,0,Nurpur (M Cl),34,Kangra,524,0,0,Himachal Pradesh
0,45,44,2,27,2,1,Palampur (M Cl),43,Kangra,76,44,0,Himachal Pradesh
0,0,0,0,3,0,0,Banjar (NP),1,Kullu,3,0,0,Himachal Pradesh
1,0,0,0,29,4,0,Bhuntar (NP),0,Kullu,33,0,0,Himachal Pradesh
5,98,98,0,25,0,0,Kullu (M Cl),84,Kullu,126,95,3,Himachal Pradesh
0,0,0,0,1,1,4,Manali (M Cl),0,Kullu,2,0,0,Himachal Pradesh
0,0,0,0,33,4,1,Jogindarnagar (NP),0,Mandi,37,0,0,Himachal Pradesh
0,0,0,0,0,0,0,Karsog,0,Mandi,0,0,0,Himachal Pradesh
0,66,64,0,20,0,1,Mandi (M Cl),43,Mandi,91,57,5,Himachal Pradesh
0,0,0,0,43,0,0,Nerchowk (NP),0,Mandi,43,0,0,Himachal Pradesh
0,19,19,0,22,0,0,Rawalsar (NP),11,Mandi,41,17,0,Himachal Pradesh
0,21,21,0,8,8,1,Sarkaghat (NP),6,Mandi,38,21,1,Himachal Pradesh
0,59,55,0,10,26,0,Sundarnagar (M Cl),15,Mandi,95,54,0,Himachal Pradesh
0,0,0,0,0,0,0,C.B. Jutogh,0,Shimla,0,0,0,Himachal Pradesh
0,0,0,0,2,0,0,Chaupal (NP),1,Shimla,2,0,0,Himachal Pradesh
0,0,0,0,0,0,0,Jubbal (NP),0,Shimla,0,0,0,Himachal Pradesh
0,0,0,0,0,0,0,Kotkhai (NP),0,Shimla,0,0,0,Himachal Pradesh
0,24,24,0,1,0,0,Narkanda (NP),18,Shimla,25,19,0,Himachal Pradesh
0,9,0,1,15,2,0,Rampur (M Cl),1,Shimla,27,0,0,Himachal Pradesh
0,0,0,0,0,0,0,Rohru (M Cl),0,Shimla,0,0,0,Himachal Pradesh
0,0,0,0,27,0,0,Seoni (NP),0,Shimla,27,0,0,Himachal Pradesh
0,185,184,0,0,2,1,Shimla (M Corp.),173,Shimla,377,175,190,Himachal Pradesh
0,0,0,0,2,0,0,Theog (M Cl),0,Shimla,2,0,0,Himachal Pradesh
0,166,152,0,135,2,0,Nahan (M Cl),0,Sirmaur,304,125,1,Himachal Pradesh
40,304,69,1,6,4,0,Paonta Sahib (M Cl),68,Sirmaur,319,68,4,Himachal Pradesh
6,148,89,2,0,0,0,Rajgarh (NP),141,Sirmaur,152,89,2,Himachal Pradesh
12,49,49,0,1,0,0,Arki (NP),14,Solan,56,33,6,Himachal Pradesh
0,0,0,0,7,0,0,Baddi (M Cl),0,Solan,7,0,0,Himachal Pradesh
0,0,0,0,0,0,0,C.B. Degshai,0,Solan,0,0,0,Himachal Pradesh
0,0,0,0,0,0,0,C.B. Kasauli,0,Solan,0,0,0,Himachal Pradesh
0,0,0,0,0,0,0,C.B.Sabathu,0,Solan,0,0,0,Himachal Pradesh
0,0,0,0,5,62,0,Nalagarh (M Cl),0,Solan,67,0,0,Himachal Pradesh
0,0,0,0,0,0,0,Parwanoo (M Cl),0,Solan,0,0,0,Himachal Pradesh
0,76,76,0,1,0,0,Solan (M Cl),54,Solan,98,76,21,Himachal Pradesh
7,428,387,0,5,0,0,Badgam (MC),28,Badgam,667,0,234,Jammu & Kashmir
2,418,405,0,104,1,4,Beerwah (MC),117,Badgam,571,66,48,Jammu & Kashmir
0,149,145,0,0,0,0,Chadura (MC),137,Badgam,188,0,39,Jammu & Kashmir
1,252,252,0,252,0,0,Charar-i-Sharief (MC),106,Badgam,541,3,37,Jammu & Kashmir
2,145,145,0,2,0,0,Khansahib (MC),92,Badgam,153,43,6,Jammu & Kashmir
67,575,575,0,0,0,0,Magam (MC),84,Badgam,793,1,218,Jammu & Kashmir
177,2550,1660,1,9,30,0,Bandipore (MC),726,Bandipore,2800,72,210,Jammu & Kashmir
1,601,586,0,33,2,0,Hajan (MC),167,Bandipore,679,88,43,Jammu & Kashmir
1,1623,946,0,93,1,0,Sumbal (MC),377,Bandipore,1730,183,13,Jammu & Kashmir
121,953,742,0,960,0,0,Baramula (M Cl),26,Baramula,1957,0,44,Jammu & Kashmir
0,0,0,0,0,0,0,Gulmarg (MC),0,Baramula,17,0,17,Jammu & Kashmir
1,129,129,0,3,0,0,Kunzer (MC),54,Baramula,146,0,14,Jammu & Kashmir
68,586,584,0,1,0,0,Pattan (MC),238,Baramula,957,182,370,Jammu & Kashmir
1,1264,1193,0,1964,0,0,Sopore (M Cl),109,Baramula,3482,5,254,Jammu & Kashmir
7,231,203,0,3,0,0,Uri (MC),109,Baramula,463,120,229,Jammu & Kashmir
43,475,373,0,131,10,0,Watra Gam (MC),117,Baramula,817,5,201,Jammu & Kashmir
0,94,94,0,0,33,0,Bhaderwah (MC),75,Doda,304,43,177,Jammu & Kashmir
0,370,368,0,8,151,0,Doda (MC),368,Doda,595,79,66,Jammu & Kashmir
13,76,76,0,17,31,0,Thathri (MC),55,Doda,125,58,1,Jammu & Kashmir
0,289,209,0,4,0,0,Ganderbal (MC),71,Ganderbal,295,15,2,Jammu & Kashmir
2,339,339,0,0,330,0,Akhnoor (MC),337,Jammu,688,309,19,Jammu & Kashmir
138,885,885,0,55,497,0,Arnia (MC),749,Jammu,1463,108,26,Jammu & Kashmir
66,529,529,0,1,0,1,Bishna (MC),222,Jammu,553,252,23,Jammu & Kashmir
4,315,315,0,0,77,0,Ghomanhasan (MC),250,Jammu,401,51,9,Jammu & Kashmir
24,7010,1970,0,49,1,0,Jammu (M Corp.),470,Jammu,8162,251,1102,Jammu & Kashmir
0,0,0,0,0,0,0,Jammu Cantt. (CB),0,Jammu,0,0,0,Jammu & Kashmir
10,316,316,0,0,68,0,Jourian (MC),251,Jammu,441,126,57,Jammu & Kashmir
259,984,984,0,1,0,0,Khore (MC),308,Jammu,1241,767,256,Jammu & Kashmir
52,716,716,0,2,500,0,R.S. Pora (MC),660,Jammu,1221,228,3,Jammu & Kashmir
0,304,70,0,431,0,0,Kargil (MC),120,Kargil,767,4,32,Jammu & Kashmir
27,166,166,0,0,147,0,Bashohli (MC),106,Kathua,416,105,103,Jammu & Kashmir
3,393,393,0,0,0,0,Billawar (MC),244,Kathua,460,3,67,Jammu & Kashmir
102,390,381,0,3,4,0,Hiranagar (MC),116,Kathua,494,1,97,Jammu & Kashmir
137,1444,836,1,31,97,0,Kathua (M Cl),287,Kathua,1987,5,414,Jammu & Kashmir
0,87,87,0,0,13,0,Lakhanpur (MC),87,Kathua,111,43,11,Jammu & Kashmir
3,408,408,0,5,0,0,Parole (MC),96,Kathua,431,0,18,Jammu & Kashmir
15,512,392,0,59,0,0,Kishtwar (MC),188,Kishtwar,613,1,42,Jammu & Kashmir
0,0,0,0,3,0,0,Ashmuji Khalsa (MC),0,Kulgam,3,0,0,Jammu & Kashmir
8,378,366,0,55,6,0,Devsar (MC),112,Kulgam,556,306,117,Jammu & Kashmir
3,503,489,1,37,0,0,Frisal (MC),148,Kulgam,591,185,50,Jammu & Kashmir
11,1407,1380,2,19,3,2,Kulgam (MC),355,Kulgam,2027,1131,596,Jammu & Kashmir
0,0,0,0,5,0,0,Mehmood Pora (MC),1,Kulgam,5,0,0,Jammu & Kashmir
0,0,0,0,26,0,0,Quimoh (MC),1,Kulgam,26,0,0,Jammu & Kashmir
14,427,426,0,153,1,0,Yari Pora (MC),80,Kulgam,589,409,8,Jammu & Kashmir
85,465,415,0,86,0,0,Langate (MC),23,Kupwara,581,19,30,Jammu & Kashmir
165,494,494,0,214,0,0,Handwara (MC),21,Kupwara,708,281,0,Jammu & Kashmir
24,502,463,0,101,0,8,Kupwara (MC),91,Kupwara,685,306,82,Jammu & Kashmir
0,0,0,0,0,0,0,Leh Ladakh (MC),0,Leh,0,0,0,Jammu & Kashmir
4,296,290,1,5,1,5,Awantipora (MC),163,Pulwama,368,95,65,Jammu & Kashmir
12,155,147,0,1,0,0,Khrew (MC),27,Pulwama,165,10,9,Jammu & Kashmir
141,666,401,0,17,2,0,Pampora (MC),140,Pulwama,784,8,99,Jammu & Kashmir
7,706,445,2,122,0,0,Pulwama (MC),306,Pulwama,836,58,6,Jammu & Kashmir
15,257,257,1,11,1,1,Tral (MC),190,Pulwama,394,4,124,Jammu & Kashmir
65,247,218,0,0,197,0,Punch (M Cl),8,Punch,725,1,281,Jammu & Kashmir
12,276,276,0,0,44,3,Surankote (MC),243,Punch,380,24,60,Jammu & Kashmir
85,363,363,0,34,0,0,MC Kalakote,180,Rajouri,402,0,5,Jammu & Kashmir
25,259,258,0,6,106,0,Nowshehra (MC),123,Rajouri,466,68,95,Jammu & Kashmir
76,602,601,0,112,0,0,Rajauri (MC),443,Rajouri,734,6,20,Jammu & Kashmir
34,93,91,0,2,35,0,Sunderbani (MC),32,Rajouri,133,0,3,Jammu & Kashmir
0,321,315,0,247,1,6,Thanamandi (MC),296,Rajouri,639,26,70,Jammu & Kashmir
1,166,166,1,0,22,0,Banihal (MC),165,Ramban,205,166,16,Jammu & Kashmir
1,123,123,0,0,29,0,Batote (MC),60,Ramban,361,0,209,Jammu & Kashmir
1,48,48,0,0,60,15,Ramban (MC),47,Ramban,116,41,8,Jammu & Kashmir
2,220,220,0,0,127,0,Katra (MC),160,Reasi,347,19,0,Jammu & Kashmir
0,0,0,0,0,0,0,Purana Daroorh (MC),0,Reasi,0,0,0,Jammu & Kashmir
22,226,226,0,2,101,0,Reasi (MC),161,Reasi,347,142,18,Jammu & Kashmir
0,327,327,0,0,55,0,Bari Brahamana (MC),326,Samba,398,24,16,Jammu & Kashmir
28,355,355,0,19,0,12,Ramgarh (MC),155,Samba,375,342,1,Jammu & Kashmir
1,177,177,0,24,97,0,Samba (MC),149,Samba,299,140,1,Jammu & Kashmir
1,168,168,0,0,70,1,Vijay Pur (MC),139,Samba,247,69,9,Jammu & Kashmir
102,547,371,0,0,2,0,Shupiyan (MC),97,Shupiyan,660,350,111,Jammu & Kashmir
112,2753,2750,5,1016,3,0,Anantnag (M Cl),520,Srinagar,4949,790,1172,Jammu & Kashmir
0,0,0,0,0,0,0,Badami Bagh (CB),0,Srinagar,0,0,0,Jammu & Kashmir
6,4788,4043,2,13704,0,2,Srinagar (M Corp.),5,Srinagar,19193,44,699,Jammu & Kashmir
2,717,714,2,0,0,0,Devanahalli (TMC),482,Bangalore Rural,789,551,70,Karnataka
13,1271,1271,0,0,0,0,Dod Ballapur (CMC),1089,Bangalore Rural,1296,1178,25,Karnataka
4,403,398,0,2,33,0,Hosakote (CMC),393,Bangalore Rural,451,283,13,Karnataka
0,124,124,0,0,0,0,Nelamangala (TMC),101,Bangalore Rural,127,114,3,Karnataka
60,558,528,0,0,0,0,Vijayapura (TMC),297,Bangalore Rural,714,494,156,Karnataka
32,469,467,0,15,0,0,Anekal (TMC),353,Bangalore Urban,579,309,95,Karnataka
1,6,6,0,1,0,0,Attibele (TMC),2,Bangalore Urban,9,5,2,Karnataka
0,2789,2779,2,198,5,0,BBMP (M Corp.),4,Bangalore Urban,4091,2767,1097,Karnataka
5,30,30,0,0,1,0,Bommasandra (TMC),22,Bangalore Urban,31,29,0,Karnataka
5,66,66,0,2,0,0,Chandapura (TMC),36,Bangalore Urban,68,64,0,Karnataka
0,0,0,0,0,0,0,Doddathoguru TP,0,Bangalore Urban,0,0,0,Karnataka
1,25,25,0,0,0,0,Hebbugodi (CMC),16,Bangalore Urban,25,25,0,Karnataka
6,27,27,0,2,8,0,Jigani (TMC),16,Bangalore Urban,41,27,4,Karnataka
0,0,0,0,0,0,0,Konappana Agrahara TMC,0,Bangalore Urban,0,0,0,Karnataka
0,0,0,0,0,0,0,Ainapur (TP),0,Belgaum,0,0,0,Karnataka
12,66,65,1,2,0,0,Arabhavi (TP),15,Belgaum,69,65,0,Karnataka
108,764,764,0,28,321,0,Athni (TMC),427,Belgaum,1124,705,11,Karnataka
82,1433,1433,2,19,180,0,Bail Hongal (TMC),688,Belgaum,1700,1363,66,Karnataka
2,2025,2023,5,36,359,0,Belgaum (M Corp.),1474,Belgaum,2747,1950,322,Karnataka
0,0,0,0,0,0,0,Belgaum Cantonment (CB),0,Belgaum,0,0,0,Karnataka
27,37,36,0,0,0,0,Boragaon (TP),1,Belgaum,37,36,0,Karnataka
5,18,14,0,56,0,0,Channamma Kitturu (TP),12,Belgaum,74,14,0,Karnataka
20,455,435,0,5,0,0,Chikodi (TMC),260,Belgaum,507,374,47,Karnataka
1,60,14,0,0,0,0,Chinchali (TP),1,Belgaum,60,14,0,Karnataka
16,48,35,1,0,0,0,Examba (TP),33,Belgaum,49,34,0,Karnataka
23,2026,1884,0,4,0,0,Gokak (CMC),538,Belgaum,2058,1503,28,Karnataka
0,0,0,0,0,0,0,Gokak Falls (NAC),0,Belgaum,0,0,0,Karnataka
25,68,0,0,14,1,0,Harogeri (TMC),30,Belgaum,85,0,2,Karnataka
37,600,598,2,34,2,0,Hukeri (TP),363,Belgaum,641,496,3,Karnataka
0,72,51,0,14,0,0,Inaapura (TP),0,Belgaum,86,51,0,Karnataka
0,41,0,0,0,0,0,Kabbura (TP),0,Belgaum,41,0,0,Karnataka
12,170,27,1,2,0,0,Kalloli (TP),14,Belgaum,173,27,0,Karnataka
0,97,97,1,0,0,0,Kankanavadi (TP),15,Belgaum,100,97,2,Karnataka
6,187,187,0,1,0,0,Khanapur (TP),105,Belgaum,191,175,3,Karnataka
93,502,493,0,93,2,0,Konnur (TP),329,Belgaum,603,472,6,Karnataka
119,1182,1127,1,76,1,0,Kudachi (TP),596,Belgaum,1951,453,691,Karnataka
0,27,21,0,50,0,0,M.K Hubballi (TP),28,Belgaum,78,21,1,Karnataka
2,121,121,0,0,0,0,Mallapura (TP),0,Belgaum,121,121,0,Karnataka
95,115,114,0,299,0,0,Manuvalli (TMC),15,Belgaum,414,114,0,Karnataka
19,267,267,0,0,1,0,Mudalgi (TMC),181,Belgaum,326,119,58,Karnataka
0,62,62,0,0,0,0,Mugalakoda (TMC),0,Belgaum,63,62,1,Karnataka
1,30,27,0,17,0,0,Naaganura (TP),0,Belgaum,47,27,0,Karnataka
102,1394,1391,0,1,1,0,Nipani (CMC),672,Belgaum,1861,1280,465,Karnataka
69,789,789,0,0,0,0,Raibag (TP),336,Belgaum,809,722,20,Karnataka
68,836,824,0,182,0,0,Ramdurg (TMC),441,Belgaum,1039,592,21,Karnataka
57,811,811,0,155,0,0,Sadalgi (TP),178,Belgaum,973,766,7,Karnataka
58,817,816,0,20,0,0,Sankeshwar (TMC),366,Belgaum,854,775,17,Karnataka
62,1386,1362,0,120,7,0,Saundatti-Yellamma (TMC),412,Belgaum,1540,1249,27,Karnataka
0,16,16,0,0,0,0,Shedbaala (TP),0,Belgaum,16,16,0,Karnataka
42,91,8,2,4,0,0,Ugar Khurda (TMC),3,Belgaum,97,8,0,Karnataka
557,12112,10023,2,1310,8,0,Bellary (M Corp.),1403,Bellary,14608,9968,1176,Karnataka
9,723,723,1,0,0,0,Hagaribommanahalli (TMC),91,Bellary,814,683,90,Karnataka
4,2344,2074,0,136,0,0,Hoovina Hadagalli (TMC),1099,Bellary,2498,1793,18,Karnataka
1,6527,6527,0,1,104,0,Hospet (CMC),6439,Bellary,7174,5742,542,Karnataka
8,1830,1679,0,5,4,0,Kamalapuram (TP),701,Bellary,1839,1450,0,Karnataka
161,2952,2120,0,172,82,0,Kampli (TMC),787,Bellary,3207,1466,1,Karnataka
6,1673,1673,0,3,1,0,Kotturu (TP),1556,Bellary,1678,58,1,Karnataka
28,45,44,0,41,0,0,Kudatini (TP),15,Bellary,86,44,0,Karnataka
28,1783,1783,0,223,0,0,Kudligi (TP),645,Bellary,2007,1298,1,Karnataka
0,444,367,0,59,0,0,Kurekuppa (TMC),0,Bellary,713,367,210,Karnataka
1,694,694,0,40,0,0,Kurudugodu (TMC),0,Bellary,754,694,20,Karnataka
3,1489,1387,0,484,0,0,Mariyammanahalli (TP),26,Bellary,1975,1387,2,Karnataka
52,1742,1742,0,0,115,0,Sandur (TMC),522,Bellary,1930,1146,73,Karnataka
9,983,466,0,306,0,0,Siruguppa (CMC),492,Bellary,1334,197,45,Karnataka
60,2524,2515,0,33,8,0,Tekkalakote (TP),1130,Bellary,2578,2301,13,Karnataka
1,1562,529,2,1,0,0,Aurad (TP),338,Bidar,1565,478,0,Karnataka
11,1932,1588,0,675,0,0,Basavakalyan (CMC),624,Bidar,2608,1397,1,Karnataka
6,1541,1422,6,949,0,0,Bhalki (TMC),559,Bidar,2728,1345,232,Karnataka
1211,5276,5270,3,114,1,0,Bidar (CMC),3098,Bidar,6962,4695,1568,Karnataka
39,800,463,0,52,0,0,Chitgoppa (TMC),191,Bidar,1047,14,195,Karnataka
0,0,0,0,0,0,0,Halli Kheda (TMC),0,Bidar,0,0,0,Karnataka
17,710,710,0,45,1,0,Homnabad (TMC),178,Bidar,818,682,62,Karnataka
3,1675,162,0,0,1,0,Alamela (TP),133,Bijapur,1676,162,0,Karnataka
50,1840,1740,1,20,6,0,Basavana Bagevadi (TMC),1081,Bijapur,1901,884,34,Karnataka
76,10924,7559,8,386,463,0,Bijapur (CMC),4104,Bijapur,12532,7075,751,Karnataka
11,205,57,0,271,0,0,Chadchan TPC,49,Bijapur,476,57,0,Karnataka
5,212,118,0,0,16,0,Devarahipparagi (TP),124,Bijapur,228,118,0,Karnataka
11,1377,1312,1,343,7,0,Indi (TMC),911,Bijapur,1728,1184,0,Karnataka
0,29,23,0,497,0,0,Kolhara (TP),19,Bijapur,526,23,0,Karnataka
3,67,66,0,41,0,0,Managuli (NP),56,Bijapur,108,66,0,Karnataka
87,2240,1573,0,361,83,0,Muddebihal (TMC),1384,Bijapur,2684,1464,0,Karnataka
6,76,44,0,18,0,0,Nalatavada (TP),9,Bijapur,100,44,6,Karnataka
19,43,42,0,111,0,0,Nidagundi TP,16,Bijapur,154,42,0,Karnataka
140,1201,1198,1,10,56,0,Sindgi (TMC),355,Bijapur,1320,514,52,Karnataka
53,1214,1204,2,353,4,0,Talikota (TMC),652,Bijapur,1573,877,0,Karnataka
